918,65
144,141
383,626
1037,232
407,744
454,220
1080,171
831,201
1081,435
1028,345
413,537
830,99
839,499
334,703
716,205
1048,24
45,461
428,438
1077,384
1145,305
1157,234
843,256
1182,35
913,166
567,668
528,691
37,114
369,536
66,401
267,577
996,199
261,219
81,635
174,618
293,269
189,567
383,96
1069,324
744,720
459,18
329,765
1108,475
1196,335
996,42
153,288
1256,576
559,43
1219,101
1249,686
663,738
154,85
681,183
1066,490
122,491
1023,159
713,56
1175,192
191,236
381,46
940,496
203,356
378,326
143,16
1260,352
854,710
55,313
1038,96
891,368
859,564
1159,724
46,191
519,177
192,176
1238,414
235,736
224,425
791,724
477,613
441,505
279,778
298,173
407,478
967,416
499,125
575,190
962,115
130,560
350,484
117,363
843,449
122,660
572,623
925,730
182,658
16,552
80,758
785,237
1142,509
384,230
436,703
