1103,735
1256,332
1015,103
878,418
36,318
368,408
984,626
1131,695
1049,750
1226,404
1000,242
1164,652
612,605
758,648
590,561
294,51
376,361
1035,428
293,455
170,534
291,498
544,15
1102,570
296,612
1050,283
591,194
129,415
351,569
167,725
799,491
720,744
660,109
643,699
590,734
988,406
912,239
102,367
1119,286
857,316
956,240
1000,501
906,700
117,583
1153,252
941,549
159,204
337,226
88,305
360,739
1190,479
814,265
841,602
1257,574
398,687
1221,192
139,109
303,274
995,698
215,134
56,705
668,238
345,459
421,96
1089,354
464,149
448,458
248,449
1159,424
833,403
293,156
491,561
714,564
324,530
415,295
287,663
1129,201
787,81
245,166
844,122
1139,63
980,320
442,19
847,708
701,72
683,168
447,657
67,414
792,206
299,212
860,361
370,308
623,228
500,52
799,740
1197,615
270,339
143,503
1030,573
597,668
445,247
