900,502
1110,103
709,538
907,774
547,291
628,278
256,615
399,659
160,719
591,162
992,446
943,600
735,582
1261,121
919,365
900,416
243,513
737,223
727,623
816,761
480,409
782,51
1261,336
175,769
44,341
276,568
399,122
1245,241
147,652
933,115
687,686
82,103
487,195
675,111
325,110
1094,703
814,412
1221,713
1145,723
441,329
412,299
1110,483
241,271
977,25
1245,547
613,205
1219,305
896,198
593,390
863,732
879,43
696,242
604,453
854,303
1145,284
662,308
866,556
1263,676
1049,697
512,51
1075,158
690,411
169,399
672,66
1111,40
621,361
141,601
833,134
17,526
289,325
35,48
870,92
958,558
289,477
46,441
160,123
54,747
243,59
105,306
535,87
