894,151
175,414
1033,276
372,49
245,700
916,302
554,134
291,266
185,518
594,74
628,365
349,665
417,482
833,135
359,203
187,59
1094,242
114,443
434,138
1170,632
665,781
36,179
65,265
259,433
788,273
951,40
650,272
144,69
321,592
159,716
326,118
1065,582
1048,366
121,784
1261,784
797,204
134,613
350,773
876,742
175,316
828,546
1143,127
406,391
110,151
441,227
876,465
551,376
104,285
452,749
1043,656
101,358
202,164
323,495
1259,450
836,251
690,339
547,261
919,437
1017,163
162,17
576,213
1240,150
146,271
1081,440
729,282
1100,312
631,31
809,701
937,558
317,434
980,189
203,462
883,72
603,298
551,759
879,642
1027,404
253,28
18,633
812,33
971,492
1129,579
410,435
26,541
1182,575
980,233
1207,658
210,622
1218,355
1040,123
498,779
778,454
1134,473
755,36
251,294
1258,367
904,365
350,370
412,339
1000,619
69,599
480,156
427,35
892,27
528,64
26,113
57,684
806,358
29,23
933,706
1032,454
335,732
619,232
751,486
47,338
231,774
1156,700
1197,147
445,544
485,223
313,190
789,665
388,282
247,367
1243,586
50,61
934,635
1193,730
1104,383
1179,227
676,140
564,446
202,281
136,528
954,365
1250,292
738,432
1183,535
594,749
104,50
311,231
1210,42
133,224
274,150
390,160
747,135
97,537
372,522
516,457
1142,748
