794,641
1107,320
686,327
1227,487
1226,400
827,127
365,231
253,419
466,302
717,659
673,136
630,410
599,646
422,60
1113,731
627,76
1168,120
932,217
841,518
564,337
776,488
774,549
52,49
529,429
465,373
900,715
1116,49
191,696
177,612
320,737
373,535
889,612
562,200
238,152
455,712
1206,316
832,272
319,113
471,171
1046,762
161,520
740,114
931,32
763,183
889,168
164,377
121,583
1014,669
1244,765
72,482
722,231
779,399
1129,465
280,41
1147,560
633,535
1080,652
1146,669
181,255
843,384
429,611
694,456
706,385
111,272
398,459
621,318
700,726
262,573
254,739
526,521
1224,591
390,335
1034,114
528,75
650,214
554,599
327,488
1171,189
744,769
1012,181
